id,mass (g),reclat,reclong
16713,4500.0,-39.63333,174.4
7748,54000.0,-42.55,171.35
12312,7500.0,-40.07139,175.73028
15392,2300.0,-46.31667,168.4
16754,7100.0,-44.81667,171.13333
24173,33600.0,-43.32,172.06333
24198,9200.0,-38.25,178.08333
24199,6000.0,-41.31667,175.13333
