id,mass (g),reclat,reclong
10046,190.0,-25.29647,133.20006
10052,397.0,-33.86667,121.91667
10060,74318.0,-32.03333,139.78333
10085,1861.0,-30.44028,121.25694
10124,97.7,-30.81667,128.21667
10125,26000.0,-30.98333,127.88333
10126,74.0,-30.9,128.08333
10127,64.0,-30.46667,128.2
10128,36.0,-30.45833,128.21667
10129,47.3,-30.63333,128.125
10130,910.0,-30.785,128.01667
10131,122.6,-30.75,127.99167
10132,1000.0,-30.15,128.08333
10133,359.0,-30.11667,127.86667
10134,34.6,-30.15,128.08333
10135,28.6,-30.15,128.08333
10136,26.9,-30.15,128.08333
10137,104.0,-30.78333,127.75
10138,82.0,-30.78333,127.8
10139,46.87,-30.15383,128.07283
10140,4.6,-30.17417,128.069
10141,54.41,-30.16667,128.08333
10142,42.94,-30.16667,126.08333
10143,6.99,-30.73783,127.95367
10144,59.7,-30.757,127.95167
10145,7.46,-30.77283,127.94667
10146,7.67,-30.78167,127.94417
10147,16.23,-30.758,127.94783
10148,8.11,-30.756,127.93717
10149,64.11,-30.757,127.938
10150,14.41,-30.75967,127.94983
10151,48.7,-30.73233,127.949
10152,6.0,-30.7315,127.93917
10153,77.68,-30.731,127.93917
10154,0.83,-30.73783,127.95367
10155,1.38,-30.71667,127.93333
10156,31.3,-30.75,128.08333
10157,99.0,-30.75,128.08333
10158,166.0,-30.75,128.08333
10159,57.0,-30.75,128.08333
10160,10.0,-30.75,128.08333
10161,500.0,-29.41667,129.5
10162,52.0,-29.58333,128.91667
10182,8800.0,-30.60833,115.16667
10865,10000.0,-24.5,115.18333
10913,67.1,-33.68333,121.8
10915,147000.0,-30.38333,147.2
10920,736600.0,-23.9,151.3
10933,40800.0,-22.9,138.71667
10937,33600.0,-34.0,118.1
52859,0.0,-12.26333,136.83833
11452,112500.0,-33.3,117.66667
11454,19.7,-31.0,125.93333
11455,46.0,-30.46667,126.18333
11456,2.81,-30.49967,126.22183
11457,47.35,-30.46717,126.34367
11458,40.37,-30.47483,126.35883
11459,16.01,-30.47483,126.35883
11460,3.26,-30.48033,126.347
11461,6.13,-30.48083,126.34633
11462,0.4,-30.48083,126.34633
11463,1.3,-30.46667,126.33333
50994,33.0,-30.9685,126.252
11471,503000.0,-31.38333,125.63333
11483,68000.0,-28.48333,148.25
11814,27000.0,-25.46667,142.8
11872,2000000.0,-24.56667,133.16667
11877,32000.0,-31.73333,146.4
11882,7000.0,-19.11667,145.41667
11922,2300000.0,-22.36667,135.76667
11925,379.0,-30.45,129.5
11926,1074.0,-30.56667,129.63333
11927,3200.0,-30.23333,129.4
11928,304.0,-30.58517,129.58667
11929,284.0,-30.60267,129.57528
11930,367.0,-30.57,129.31467
11931,58.0,-30.56833,129.6375
11932,44.0,-30.4,129.01667
11933,108.0,-30.41667,129.81667
11934,71.0,-30.2635,129.81033
11935,263.0,-30.23333,129.08333
11936,25.0,-30.28333,129.56667
11937,4000.0,-30.66167,129.11667
11938,57.5,-30.51867,129.54017
11939,31.2,-30.51667,129.192
11940,58.0,-30.547,129.18917
11941,138.0,-30.55167,129.22133
11942,53.5,-30.568,129.713
11943,90.5,-30.16833,129.04183
11944,23.6,-30.27467,129.0185
11945,159.9,-30.668,129.462
11946,104.0,-30.21583,129.72083
11947,111.0,-30.085,129.10283
11948,333.0,-30.53367,129.42417
11949,172.0,-30.70117,129.46717
11950,360.0,-30.0,129.16667
11951,68.0,-30.55667,129.63867
11952,62.0,-30.60883,129.62567
11953,74.0,-30.40817,129.33833
11954,100.0,-30.668,129.462
11955,120.0,-30.17306,129.53611
11956,42.7,-30.16833,129.5
11957,20.0,-30.13389,129.0625
11958,150.6,-30.28333,129.53333
11959,23.0,-30.33333,129.5
11960,35.9,-30.35,129.66667
11961,28.5,-30.41667,129.65
11962,10.0,-30.38333,129.68333
11963,8.5,-30.38333,129.7
11964,159.1,-30.38333,129.51667
11965,14.0,-30.43333,129.6
11966,39.0,-30.43333,129.55
11967,47.4,-30.35,129.65
